generation,fitness
1,257577
2,257577
3,260433
4,260980
5,262971
6,264822
7,266302
8,267674
9,268792
10,272017
11,274994
12,275870
13,277648
14,279522
15,281604
16,283611
17,285255
18,287705
19,288177
20,291061
21,295786
22,295786
23,296485
24,299296
25,299812
26,302390
27,302621
28,304794
29,308534
30,308534
31,310856
32,312186
33,312186
34,315464
35,315464
36,315741
37,316158
38,317641
39,317860
40,320233
41,320872
42,322244
43,322244
44,323188
45,324464
46,324464
47,325654
48,326133
49,326523
50,327788
51,330073
52,330461
53,330498
54,331199
55,331667
56,332679
57,334236
58,334370
59,334496
60,335291
61,336930
62,337586
63,338436
64,338578
65,340660
66,340660
67,340660
68,342009
69,342210
70,343947
71,343947
72,345097
73,345862
74,345862
75,346987
76,347467
77,347858
78,349338
79,349773
80,350452
81,350874
82,352217
83,353324
84,353324
85,354353
86,354743
87,355219
88,356239
89,356453
90,357483
91,358078
92,358780
93,359403
94,360666
95,360873
96,360978
97,362228
98,362771
99,362771
100,363483
101,364653
102,365900
103,366526
104,366526
105,366696
106,368163
107,368163
108,369045
109,370010
110,370413
111,371007
112,371304
113,371807
114,373299
115,373299
116,374492
117,374492
118,374492
119,374787
120,375513
121,376287
122,376811
123,377474
124,378510
125,378510
126,378720
127,379620
128,380035
129,380652
130,381054
131,381912
132,382396
133,382396
134,382581
135,383656
136,383906
137,384654
138,384901
139,385830
140,385857
141,386418
142,387210
143,387210
144,387653
145,388202
146,388584
147,389203
148,389418
149,389831
150,389847
151,391341
152,391341
153,391394
154,392054
155,392193
156,392653
157,393628
158,394906
159,394906
160,394906
161,395065
162,395396
163,395651
164,396010
165,396010
166,396866
167,397273
168,397815
169,398281
170,398436
171,398586
172,399395
173,399544
174,399794
175,400404
176,400404
177,400484
178,401731
179,401731
180,401731
181,401858
182,402209
183,403056
184,403147
185,403182
186,404257
187,404800
188,404800
189,404800
190,404994
191,405007
192,405184
193,405787
194,405896
195,406394
196,406394
197,406683
198,406899
199,407305
200,407391
201,407696
202,408042
203,408586
204,408586
205,408937
206,409443
207,409674
208,409674
209,410084
210,410438
211,410653
212,410881
213,411036
214,411518
215,411518
216,411518
217,411873
218,411873
219,412134
220,412281
221,412689
222,412829
